,Neighborhood,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school and less_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,cars per capita,transportation car_n,transportation public_n,tranportation motorcycle_n,total workers,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value less than 100_n,house value for 100 to 500_n,house value 500 or more_n,rent less than 1000_n,rent bewteen 1000 and 2000_n,Transportation Other means_n,rent 2000 or more_n
128,Ozone Park,1351.722712,2187.888641,690.3886471,1311.121593,1013.026663,603.4651288,1125.691022,176.6955934,3022.377142,1206.622858,1087.288442,648.1293091,285.9681774,30.1917543,540.2165341,1864.748141,1958.618845,927.6503424,1318.984894,826.517311,7.777614046,4258,1752.693777,1553.623436,2339.896847,212.6366579,2351.969511,1604.393831,1020.055531,2730.878434,193.7769467,461.0660355
129,Park Slope-Gowanus,17694.24939,25268.98882,7790.761783,19861.23987,12937.46517,5649.353619,11032.39606,1273.545285,32133.71139,18576.28861,11021.00048,9452.414747,4793.376439,586.6732788,8273.245263,16808.81165,28864.2268,11364.93632,11567.97345,10917.9355,214.425831,50859,24254.1393,19812.27569,33765.80125,2829.356531,21059.87624,26012.76723,14475.76671,28604.38759,3519.499078,7577.845701
130,park-cemetery-etc-Bronx,736.5139987,1128.19844,380.2875613,785.2732462,449.3206943,180.9579703,779.2920899,50.15599941,1431.01027,811.9897303,488.731453,365.1271728,190.3061911,27.5150545,395.419169,758.5951808,1272.013418,437.9716768,653.986962,417.2094086,4.21597532,2252,1112.287795,864.8146274,1344.695566,203.9030341,1312.69013,686.4068356,674.1204935,1293.969235,139.8512988,273.9102716
131,park-cemetery-etc-Brooklyn,3222.586724,4444.412957,1371.000319,3257.032629,2187.548542,1015.71339,2360.832913,216.8725265,5996.563787,3029.436213,2154.531273,1410.614464,642.1635155,75.53600854,1607.409827,2828.755761,5288.841144,1880.134328,2096.656743,1762.882237,33.85349376,9067,4604.810092,3387.576693,4973.296246,599.7418519,4176.798699,4042.459448,2880.268205,5066.039402,658.9045391,1055.692393
132,park-cemetery-etc-Manhattan,3867.790837,5678.568711,1850.640453,4491.846292,2386.495774,1139.796205,3083.694396,295.1673324,6971.516979,4404.483021,2343.789332,2184.387104,1123.489604,163.9863681,1941.403789,3883.443522,6320.170702,2297.527516,3037.796892,2324.045222,34.13990315,11431,5669.489219,4570.867358,8425.337936,848.7308071,5550.524879,4728.744314,3409.761648,5971.922716,852.401833,1983.315637
133,park-cemetery-etc-Queens,2779.15366,4266.802677,1373.043663,2908.435321,1612.350561,1236.84775,2417.780837,243.5855304,5658.734944,2750.265056,1952.313392,1422.919488,669.6663531,78.59120556,1214.705599,3323.205781,4303.824016,1772.369728,2469.485023,1656.28744,20.61974151,8477,3836.950288,3208.090313,5189.202802,475.1766563,4347.141568,3447.681776,2161.054136,4997.197998,496.8447262,1220.747867
134,park-cemetery-etc-Staten Island,1.577497431,3.312538908,1.109963658,4.416830876,0.423804827,0.27451434,0.847870211,0.036979745,4.373892816,1.626107184,1.79406313,1.100442139,0.702017506,0.045079893,0.28126377,4.114623376,1.372580309,1.334642251,2.893452151,0.960875033,0.0,6,1.649649799,1.595033555,5.018513145,0.142479701,3.228559675,2.628960621,1.129679741,4.422808743,0.188581287,0.447511517
135,Parkchester,1589.184335,2393.024331,746.7913338,1028.060352,1262.934885,434.818618,1887.899134,115.2870118,3092.778747,1631.221253,1101.150332,651.6897338,300.651104,33.98857855,889.9771143,1345.689127,2960.5366,987.7958399,1154.149654,902.1070609,7.693981524,4737,2531.864149,1885.021047,2272.019096,545.767147,2822.724776,1222.508077,1540.146248,2782.241472,255.4349888,395.6122797
136,Pelham Bay-Country Club-City Island,2519.969617,3898.661064,1309.369318,2246.033249,1797.253055,531.8323475,2994.130986,158.7503629,5070.393188,2651.606811,1813.546532,1061.800626,517.5701584,63.74283664,1424.681322,2411.958219,4594.568868,1585.404404,2158.987475,1362.568311,11.05104093,7741,3976.167497,2885.359338,3967.810166,728.747108,4550.093659,2244.159233,2509.709499,4571.194216,411.825026,639.0962855
137,Pelham Parkway,5539.959058,8318.703366,2668.337578,4274.596686,4475.050386,1402.81558,5994.813674,379.7236729,10863.07769,5644.922313,3762.345345,2440.740456,1144.197868,157.0272568,3061.335707,5070.433643,9930.745617,3367.007974,4190.372549,3095.325145,28.94202885,16532,8495.663229,6270.647321,8572.290563,1586.862361,9340.290932,5086.846708,5426.361338,9421.0647,976.7537515,1648.573964
138,Pomonok-Flushing Heights-Hillcrest,5639.682994,9169.26802,3090.048987,6267.574074,4122.516891,2854.144858,4057.845646,596.9185301,12284.83569,5581.164312,4116.034763,3140.550088,1539.906902,184.7331968,2258.155959,8142.253664,8128.740239,3745.351806,5867.58471,3457.204835,32.42519672,17917,7487.647201,6529.275959,11304.93087,1059.460089,9488.239286,7082.300626,4542.169475,10645.65261,926.5174416,2633.177916
139,Port Richmond,1529.439827,2583.30457,816.2556029,2470.85077,755.601228,491.779527,1110.386212,100.3822621,3514.884467,1409.115533,1295.520128,791.8983779,379.8894264,41.4291434,646.2500408,2594.710733,1845.16023,997.7769862,2009.778873,849.1950642,7.130816329,4942,1898.041494,1609.054583,3059.878161,236.404247,3093.868545,1553.727209,1536.704153,2829.149014,216.0330549,552.1468326
140,Prospect Heights,1937.742739,2637.42244,788.8348216,1922.490774,1603.553367,581.4025548,1118.439254,138.1140499,3227.594238,2126.405762,1115.517067,1033.014346,525.7231326,63.88118138,925.8266175,1580.36594,3225.28919,1218.497514,1076.541139,1201.374992,29.94618714,5396,2706.904857,2217.97374,3752.485085,287.2982888,2102.421821,2860.27989,1539.435012,2973.607558,389.5180344,834.9574307
141,Prospect Lefferts Gardens-Wingate,9144.636694,13514.11382,4304.249486,7468.51643,10802.826,2563.989224,5483.741044,643.9273,17706.75107,9226.248931,6525.230371,4289.420807,2004.845503,219.2888877,4527.09529,8989.001699,15251.62571,5983.542073,6374.885967,5541.200383,70.76281407,27023,13299.35526,10630.02782,15068.65093,1543.08879,13306.79177,11637.11944,8027.069756,16105.52587,1539.461974,2780.404379
142,Queens Village,2461.327037,4084.259237,1295.413726,2094.14359,2430.779901,1121.456179,1843.076817,351.543513,5689.333068,2132.666932,1964.219725,1213.44869,552.3630092,55.92401015,889.3385535,3800.206537,3342.032438,1646.961431,2743.845624,1489.773393,11.36500495,7882,3064.930133,2757.841326,4493.258559,401.0638128,4792.232306,2559.703881,1896.951751,4849.500261,335.862226,1062.547988
143,Queensboro Hill,3463.839905,5858.156469,2011.003626,3861.800437,1896.448519,2772.228769,2390.084246,412.4380286,7998.075256,3325.924744,2602.856187,2058.742357,977.1584832,112.6353963,1219.459085,5593.372719,4756.682845,2368.524471,3959.748449,2138.114355,17.42079348,11351,4410.26817,4113.355598,7081.665781,549.7172747,5865.897585,4835.385141,2443.007565,7049.375164,565.5759007,1800.617272
144,Queensbridge-Ravenswood-Long Island City,13715.8806,20519.19332,6586.926079,14888.06591,8275.031009,5423.341033,11080.80386,1154.758185,26371.33441,14401.66559,9122.852258,7358.940755,3487.067432,428.1450901,6254.287561,14693.60726,22140.05855,8571.33644,11249.36248,8250.774091,110.3108268,40913,19505.14234,16074.08092,26364.85503,2526.880387,20625.33382,16913.78579,11091.26,23807.51872,2588.299403,5821.221281
145,Rego Park,5759.964555,8917.02489,2983.010555,6200.8914,3515.713831,2754.46687,4702.006105,486.9217941,11707.38055,5925.619451,4101.046805,3017.966531,1370.45374,161.0454917,2764.195928,6368.292897,9611.972343,3729.203135,4668.567339,3494.788,38.89312836,17679,8564.990021,6820.020862,10043.0114,1094.360742,9291.114092,6970.525164,4956.015665,10629.92279,1056.250496,2016.061543
146,Richmond Hill,7592.980164,12218.3437,3823.676134,7064.526539,5721.10911,3656.120813,6024.081334,1169.162205,16911.69099,6695.309008,5894.843557,3704.361511,1666.086567,173.8023189,2951.646332,10500.84105,10960.18483,5033.912326,7521.829821,4575.27985,39.05516507,23700,9753.458418,8511.699676,13209.84057,1227.186764,13709.86564,8425.947599,5821.58002,14957.21697,1125.396124,2757.203015
147,Ridgewood,5812.994227,8595.251408,2637.754366,6092.973371,3209.367683,2130.967679,5189.329815,423.3614525,11449.79837,5574.201633,4164.0645,2704.425306,1203.800444,130.393333,2607.013771,5951.091037,9376.273152,3732.587452,4408.071446,3444.461435,52.27941321,17142,7904.602912,6483.484429,9830.521646,936.3795336,8442.274321,7425.346145,4461.742067,10607.82275,1001.700869,1930.435186
148,Rosedale,1486.668687,2474.958853,801.3724602,1494.149053,1398.973135,638.4787109,1055.872817,175.5262832,3413.29351,1337.70649,1177.356267,750.4862496,356.9710379,36.15868708,572.2498577,2321.118849,2011.765866,963.2100759,1732.000028,904.537467,7.283624358,4782,1855.57439,1688.80288,2791.272413,256.9882899,2886.142494,1571.869216,1160.838987,2890.664574,210.3184552,688.4964389
149,Rossville-Woodrow,604.3563405,1125.206499,349.4371607,1365.951348,153.9898993,179.1508706,347.6062667,32.30161525,1555.646429,521.3535708,559.5984848,350.8917913,173.7303666,17.38036061,189.9068193,1322.511265,593.8069264,451.666749,935.2890061,349.5250816,1.996602204,2082,644.5631465,610.9205859,1404.738127,77.67410492,1148.477399,844.8484958,578.3356693,1190.055259,72.90879938,308.6090716
150,Rugby-Remsen Village,4369.285725,6784.175721,2122.538555,3092.571769,6679.53612,1038.339478,2161.314952,304.2376804,9044.350917,4214.649083,3424.775369,1981.160073,916.5481005,91.656353,2078.882726,4820.970869,7137.86841,3040.860234,3368.070742,2732.94279,26.55271302,13300,6183.085857,5115.860875,6945.22276,700.3375964,7131.286955,5299.375448,3765.993011,8313.102986,644.8718236,1166.904003
151,Schuylerville-Throgs Neck-Edgewater Park,2686.88669,4149.449806,1424.663504,2635.846261,1761.186197,681.0059443,2999.447128,183.5144695,5531.7124,2698.2876,1967.641239,1173.711924,568.7814185,71.4168289,1328.389058,2963.901412,4495.561904,1668.04668,2465.869483,1476.943928,12.49222049,8277,3887.58845,2982.474901,4503.119338,689.8747224,4827.779718,2534.345559,2481.945524,4871.889371,423.4242307,869.1651055
152,Seagate-Coney Island,3111.184213,4960.666041,1744.149745,3665.848783,2928.297583,1028.964613,1984.995063,207.8939576,6641.239408,3159.760591,2470.766209,1555.183799,689.4732531,70.60449162,1873.630567,3529.001554,5313.551354,2084.329158,2549.091277,1854.459152,18.11326824,9837,4808.962496,3594.012597,4907.924975,637.7802907,4977.036213,3979.183496,3339.912589,5648.172608,509.0571761,806.9148032
153,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,7175.532303,12038.45571,4525.011989,11903.51265,4543.869792,3106.147806,3731.201868,454.2678828,15839.66456,7869.335445,5821.466916,4383.95703,1916.98802,217.5546976,3971.149257,9136.561015,12293.83294,4994.682286,6222.928548,4598.32321,47.59808312,23802,11594.06077,8718.207817,12739.1404,1420.99345,10593.96235,11434.0442,7253.583181,14373.45352,1383.452653,2062.963296
154,SoHo-TriBeCa-Civic Center-Little Italy,153720.3751,221853.3869,71655.23792,187757.2235,85669.04099,55253.17769,107001.6064,11547.95139,271418.6596,175550.3404,89934.09096,91155.87198,46026.2392,6265.856417,74629.01412,154826.4948,246206.7715,94041.3443,114210.7079,92506.12747,1614.273543,447628,216735.1791,178625.3531,357125.4236,27602.1554,200055.9404,209783.9042,127728.5027,233601.6728,35822.64026,85279.82454
155,Soundview-Bruckner,1685.848464,2447.448836,762.7027,991.4091011,1233.77122,461.2913632,2079.366524,130.1617925,3282.210103,1601.789897,1138.264916,641.6011177,280.0787711,32.59556068,961.7802389,1360.115196,3061.251515,1002.299968,1143.951722,903.587525,9.046250128,4917,2605.985874,1791.861008,2195.43859,446.990183,2866.498967,1414.51085,1736.130275,2731.035289,263.9710091,415.8344363
156,Soundview-Castle Hill-Clason Point-Harding Park,4413.498547,6611.730991,2081.770462,3302.276175,3267.536918,972.9993969,5274.895039,289.2924706,8784.441571,4301.558429,3074.481198,1782.535838,813.6564439,95.63515366,2506.557032,4004.330994,7897.824349,2551.179314,3476.235806,2386.912085,20.41752215,13133,6870.11033,4725.580218,6250.114404,1190.161599,7745.811426,3695.026975,4811.607491,7056.710535,706.2935497,1206.681974
157,South Jamaica,945.6984212,1487.864877,467.4367018,682.0125286,1012.360155,371.050784,714.5593245,121.0172076,2071.628877,828.3711231,723.9047337,428.7205183,191.9580163,21.10807948,377.1133316,1266.765789,1360.843268,631.0638483,895.2570462,565.3077801,4.660805223,2926,1213.84785,1048.372433,1581.285906,168.214065,1733.22506,974.560875,787.2140288,1739.742392,135.2967561,361.0435795
158,South Ozone Park,4661.860057,7270.439687,2158.700256,3246.69987,3836.352314,2299.880292,3728.748514,979.3190108,10173.65467,3906.345328,3658.67008,2018.730281,837.3467143,83.79077281,1836.112971,5944.024238,6841.350658,3155.830556,4033.747542,2775.183101,25.07674942,14140,6090.497883,5145.846443,7330.367897,737.6720059,8247.921558,4935.406436,3591.553238,9078.831514,664.2954329,1370.615249
159,Springfield Gardens North,1069.658763,1759.456199,564.8850383,976.6160067,1048.781767,465.2119137,766.0826207,137.3076922,2442.19199,948.8080093,840.694853,539.8686005,246.287141,25.99029215,409.1030544,1630.609381,1459.812456,711.9491229,1172.28855,654.4390013,5.592980952,3400,1358.178415,1218.304588,1969.08149,194.0476519,2033.591576,1143.360772,840.6642597,2079.694054,156.2368233,458.6416862
160,Springfield Gardens South-Brookville,5069.409598,8192.58209,2634.008311,4496.583048,4581.779007,2389.328778,3800.358609,627.9505566,11310.84017,4554.159832,3957.825211,2462.985947,1132.85713,118.7915148,1986.112609,7143.285148,7303.031505,3329.303269,5144.562137,3056.976615,26.71352618,15937,6592.721626,5751.067252,8900.976973,879.8508782,9247.616334,5557.532788,4111.054169,9752.000741,752.2830235,1982.94509
161,Spuyten Duyvil-Kingsbridge,4482.382508,6587.864121,2160.753372,3393.146994,3098.546802,825.981373,5634.220205,279.104625,8588.176009,4631.823992,2917.065952,1895.053864,944.0513321,142.6417405,2551.549494,3474.913054,8506.166148,2642.606296,3104.984979,2445.888336,22.16182388,13242,7154.904112,4972.432013,6561.20554,1459.181842,7577.367898,3640.45026,4583.302094,7481.429699,802.972715,1151.268207
162,St. Albans,2035.762404,3284.096896,1048.1407,1624.826123,2361.935473,752.9294068,1393.621516,234.6874812,4550.975502,1808.024498,1576.246583,962.9837422,450.0861266,46.76766844,783.0512865,2961.466011,2825.356185,1337.209984,2154.638748,1204.590257,10.03242024,6381,2576.541037,2264.570954,3619.176591,363.0177362,3930.215054,1988.76721,1726.724876,3818.879852,292.6437263,797.3952715
163,Stapleton-Rosebank,2234.632491,3681.486224,1180.881285,3404.400589,1267.28463,705.1855986,1570.797227,149.3319557,4993.270933,2088.729068,1801.02981,1164.47199,550.4213966,60.06933688,946.3306204,3559.58081,2838.481514,1534.550067,2632.639827,1248.617586,10.58331607,7109,2776.446635,2349.465178,4395.70774,305.0134648,4418.121599,2310.864937,2255.609186,4020.759715,300.8920658,804.6310996
164,Starrett City,1003.826583,1536.440982,514.732435,880.9156836,1125.241305,273.2156113,700.4171234,75.21027654,2072.086019,976.9139817,772.9694766,438.4102054,212.196374,21.2800133,545.9691209,1052.821495,1714.108021,654.2894245,769.7293221,590.2925785,6.722853077,3059,1466.659687,1148.689394,1514.066373,185.2539121,1520.379277,1241.366811,1001.505378,1753.555383,155.1495232,285.9392386
165,Steinway,6123.54093,9007.455713,2914.003358,7215.431337,2833.336358,2573.428329,4905.931353,516.8726223,11638.01801,6383.981985,4018.665168,3357.647563,1583.15076,189.1037052,2565.837233,6793.415726,9449.897788,3839.134058,5215.410967,3656.880042,50.48043777,18129,8298.69874,7348.185408,11864.37836,1079.948302,8602.116085,8108.935614,4469.810822,10822.51985,1086.695345,2698.669333
166,Stuyvesant Heights,2430.587737,3273.447407,960.9648565,1548.869202,2768.908417,565.4097612,1614.976179,166.8364398,4219.321699,2442.678301,1581.440049,1034.443073,465.836106,52.47832061,1324.533728,1823.624169,4108.715838,1500.803149,1307.951017,1411.246004,25.59277657,6697,3532.514796,2653.329893,3754.920993,362.0196743,2991.60426,3151.376066,2204.470485,3722.324297,416.2279863,729.2052175
167,Stuyvesant Town-Cooper Village,926.1299827,1317.697631,430.1723867,976.4818063,495.7146261,353.9131207,778.9612707,68.92917612,1678.216006,993.7839947,579.5394448,476.3822618,227.5641485,29.95335391,469.3060459,837.2564253,1595.094775,566.2470257,646.6695803,527.2910627,10.06142909,2696,1362.514035,1051.137999,1813.774248,169.5572193,1283.855417,1001.587364,750.4136102,1534.704291,199.5342759,382.8820994
168,Sunset Park East,6591.32874,9826.293582,3132.377679,7762.339169,2291.84199,5312.252089,3825.632953,357.9337991,13787.9454,5755.054599,4538.115955,2943.333948,1291.613693,147.7519108,2751.892185,6556.945113,11103.55626,4051.916125,4435.903117,3744.715969,59.01588896,19597,9737.087086,6940.835421,9550.400935,1133.021713,6883.311366,11350.66692,5913.474285,11898.10444,1548.125665,1715.42127
169,Sunset Park West,17577.90992,25802.79277,8310.297308,20502.77995,10173.68259,7491.697224,12438.84796,1083.992274,34648.71647,16958.28353,12169.80197,8410.039508,3910.308869,448.0789869,8050.103018,17807.73029,28776.03632,11022.61399,12546.43593,10221.34234,160.7372092,51786,25283.54876,19211.27372,28617.82806,3096.679162,21788.55736,26027.76348,15483.8868,30756.90311,3496.770514,5318.210089
170,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,4953.38373,8563.113656,2855.502614,8666.180202,2450.976876,1592.107427,3352.426124,310.3093723,11588.77006,4767.229937,4232.219767,2689.540608,1313.845993,141.5534488,2014.603126,8671.821916,6260.014139,3393.128523,6477.735133,2868.116141,22.42952778,16381,6350.841394,5472.545615,10330.80357,891.0543155,9574.711093,5737.234592,4969.948514,9383.312846,696.4152923,1991.738641
171,Turtle Bay-East Midtown,96632.52142,139563.7397,46832.73887,138397.8008,41022.50513,34563.83852,61695.58433,7349.271254,163106.3085,119724.6915,50136.39986,66421.42017,35083.56845,5326.377115,43871.46858,102651.197,148691.8067,57305.88671,77408.97123,59894.6979,963.3204465,283294,130294.1476,115896.654,278370.9669,15490.78827,121460.9817,140501.2301,68322.77842,142435.3411,27609.00551,71778.88047
172,University Heights-Morris Heights,2357.759083,3283.958443,953.2824737,1127.621803,1773.921537,417.7853489,3139.184657,136.4866544,4323.179805,2255.820195,1518.990093,796.8434576,355.1486806,45.8344055,1523.041774,1366.925251,4602.667849,1319.67506,1292.293049,1209.585139,9.554562396,6599,3884.089298,2375.41011,2610.774481,729.2632996,3673.970698,1800.766003,2581.968701,3540.681088,395.3206753,456.350211
173,Upper East Side-Carnegie Hill,39100.39934,56030.81039,19029.79028,50590.37293,17195.58377,13422.72562,30065.68146,2886.636219,66510.10505,47544.89494,21200.91321,24825.65744,12871.72178,2013.940327,19010.5475,36707.342,64567.27482,23908.74817,27188.38144,24350.59045,392.7457727,114342,55632.62465,46839.31988,98574.25225,6921.876014,49247.41956,55407.70442,29998.06975,59557.82521,10250.00541,24428.10504
174,Upper West Side,21957.78017,31087.05672,10021.16311,23541.27408,12061.13347,6596.178015,19294.9101,1572.504323,37030.49996,25957.50004,12004.07857,12400.51642,6644.561058,1071.118131,11991.2545,17494.92932,38818.26455,13425.32567,13216.27726,13391.53205,208.049734,63199,33198.14313,25638.44914,47762.97701,4514.293665,27717.18889,29027.51744,19271.29655,32448.67843,5092.854687,11228.02503
175,Van Cortlandt Village,2343.25885,3410.82399,1052.91716,1549.691122,1668.058186,480.9699329,2958.833421,149.4473382,4482.237077,2309.762924,1548.791538,939.2993014,445.5979655,55.98517574,1298.080847,1824.755152,4342.704043,1378.916907,1600.676649,1278.735833,11.5365808,6810,3648.947358,2574.783318,3190.28174,727.3113147,4016.205881,1812.482805,2302.451369,3927.612707,394.5928918,559.9359243
176,Van Nest-Morris Park-Westchester Square,12978.49561,19269.17873,6345.325654,11252.90401,9222.371139,3068.536134,14180.02509,869.1636235,25146.605,13414.395,8595.184035,5757.844318,2875.052668,462.7332731,7066.511197,11784.24135,23162.68082,7582.739367,10126.4258,7072.472914,63.15541894,38617,19806.51248,14623.1578,20804.53891,3811.551607,21769.67591,11857.77248,12721.22668,21777.78773,2494.514294,4047.985591
177,Washington Heights North,6063.9907,8573.124055,2772.885245,5336.507482,3227.53081,1297.721989,7170.811843,377.4278762,10782.7316,6603.268397,3442.417149,2943.147482,1514.135829,275.1991584,3330.095519,4421.910879,11349.07159,3486.360501,3806.48711,3387.955151,38.5939618,17435,9298.996255,6881.171215,10435.16406,1748.333894,8679.988985,6085.677122,5609.829504,9615.810106,1344.067317,2158.360391
178,Washington Heights South,10678.5326,15305.85424,5008.613157,10208.44924,5949.084458,3039.717643,11085.35165,710.3970087,19087.80981,11877.19019,6212.385533,5552.621495,2769.273025,450.5624714,5731.234669,8793.858163,19130.1543,6181.877034,7277.248659,6120.577232,77.76503561,31045,16194.07199,12271.46777,20379.86919,2886.181415,15054.17669,12124.6419,9773.286072,16573.89636,2401.787185,4600.817568
179,West Brighton,865.64104,1449.890292,629.4686681,1587.601236,494.3458327,345.1637831,463.0670501,54.82209817,1893.323184,1050.676816,706.1526927,566.2953348,246.495542,29.13913598,586.4358922,1069.930918,1591.807167,613.6465304,720.3302548,564.7601511,6.747896669,2953,1572.66006,1099.051135,1575.126716,235.2685481,1382.102193,1308.629259,1039.349865,1643.33393,177.72446,256.3162046
180,West Concourse,4044.829832,5697.931211,1704.238957,2700.889489,2869.404721,889.4473226,4739.993764,247.2647026,7385.580061,4043.419939,2544.219436,1617.793444,734.7714268,98.28779118,2415.63446,2745.977153,7600.103324,2316.031148,2443.25231,2172.13216,23.19057888,11465,6450.476859,4322.583528,5550.326683,1061.563352,6164.464289,3488.97236,4146.974834,6164.277307,734.5246714,1114.74786
181,West Farms-Bronx River,2122.084454,3037.925573,934.9899735,1448.629081,1636.654063,482.3551635,2382.22649,145.1352027,3993.567069,2091.432931,1387.83826,852.2614277,399.4403183,50.8818875,1252.899919,1648.464905,3849.594814,1260.701013,1375.328552,1153.108243,12.56359942,6107,3289.674293,2251.292815,2965.694515,605.835684,3345.771144,1937.393172,2168.440941,3360.608275,361.2456896,555.9507838
182,West New Brighton-New Brighton-St. George,3011.055616,4999.283018,1587.661365,4564.891789,1815.612005,910.9791999,2096.040952,210.4760544,6691.952587,2893.047413,2449.396822,1587.207073,760.4904477,81.28578787,1309.20751,4741.5348,3890.159681,2098.684188,3535.610158,1688.286174,16.0483423,9612,3787.176256,3250.110957,6040.536097,413.1146201,5823.484511,3273.400868,2965.308695,5563.299641,418.8276716,1048.391663
183,West Village,47194.11389,63068.71539,19813.17072,57285.36212,21928.62284,15561.72022,31801.58754,3498.707287,73470.38919,56502.61082,23604.4755,28915.59086,14673.39092,2407.640987,23030.19613,39744.59661,76259.0052,27640.05202,29052.00884,28095.06543,617.2850089,130297,66712.24468,56165.21804,120743.9519,7561.810976,53179.46021,66408.72882,35245.81285,65654.96223,12495.21875,28984.22492
184,Westchester-Unionport,4503.659635,6587.050948,2039.289417,3028.180634,3288.197841,1093.155007,5423.949626,296.516891,8717.364303,4393.635697,3055.257619,1760.95747,804.941667,99.62552928,2561.027435,3658.704102,8223.940782,2634.09899,3206.865183,2425.048819,22.75250417,13153,7013.653982,4864.008939,6160.762097,1284.827055,7652.089775,3720.083171,4601.432787,7361.628338,743.239514,1140.938877
185,Westerleigh,1869.451581,3449.338527,1185.209892,3967.182043,617.8523239,644.9557212,1151.182387,122.8275253,4705.885913,1797.114087,1727.921863,1126.419428,555.21061,58.30989519,644.4521293,3940.519252,2020.823572,1442.877717,2797.856598,1110.835121,6.445015645,6517,2143.915194,2043.868498,4448.94935,237.4655385,3849.179117,2396.355345,1832.452829,3844.739505,236.3109395,817.8076652
186,Whitestone,4613.974472,7600.647773,2600.377755,5352.250093,2433.984921,2599.968018,4014.631384,414.165584,10297.02938,4495.970617,3524.967031,2474.680283,1146.001652,131.0267052,1858.579352,6595.440349,6871.21582,3048.254182,5018.37824,2741.245546,23.44125985,14864,6294.372347,5360.538856,8677.803457,853.2046128,7602.327582,6145.467805,3558.827089,8993.368622,741.7231888,2213.804288
187,Williamsbridge-Olinville,3194.158374,4805.724587,1534.117039,2147.153271,3004.155334,615.7335548,3556.994,209.9638404,6363.095307,3154.904693,2227.95334,1316.605862,604.2555596,73.45930099,1786.8547,2810.966049,5820.533241,1909.856536,2435.664764,1732.326428,13.49967319,9541,4975.158579,3522.367186,4530.432729,947.7441218,5719.701166,2544.554712,3232.910286,5441.809102,528.6255343,837.280613
188,Williamsburg,7350.313341,7950.642446,2376.044212,10263.35904,2832.506318,1024.585282,3291.428797,265.1205708,12667.34039,4983.659613,4679.130011,2132.898673,947.9860086,121.5068265,3108.562922,4280.470735,11621.17126,3009.865121,3276.18811,2817.271573,91.22229467,17719,10184.37834,5722.576451,7223.905691,1064.832851,6868.012035,9573.155115,6281.488656,9090.56929,2594.808601,2275.942053
189,Windsor Terrace,2112.391654,3040.884229,937.7241167,2420.072769,1375.144069,677.8018594,1476.190024,141.7912793,3887.459328,2197.540672,1353.495139,1084.921758,543.1545152,66.5450112,1024.320159,1932.252777,3556.256836,1355.149012,1323.779581,1285.271853,24.08753054,6119,3068.561783,2349.312194,3783.049848,367.1780888,2504.817409,3081.004503,1782.876107,3468.12389,435.3430733,822.0000029
190,Woodhaven,4493.480612,6839.134356,2024.385032,3136.808132,3523.528442,1750.129714,4429.666328,516.8673835,9504.992099,3826.007901,3399.661831,1845.199568,785.2670369,77.54630875,2025.180518,5060.859909,6997.664581,2944.713459,3580.019364,2616.885696,24.40158773,13391,5975.572733,4841.956188,6608.643808,800.2728158,7763.876102,4526.851082,3691.78229,8425.195627,644.785233,1184.022083
191,Woodlawn-Wakefield,2216.203813,3409.818538,1084.977649,1944.785556,1821.499616,456.0716027,2342.582149,146.0610758,4460.131422,2230.868578,1588.96763,987.3715183,469.8992998,57.05693785,1145.473048,2229.558598,3830.535582,1334.548866,1932.406915,1225.759859,10.6288709,6722,3329.25271,2483.859608,3591.391288,583.1310177,4028.340797,1911.528186,2127.324243,3898.784767,382.744647,658.890991
192,Woodside,6420.820905,9631.167225,3018.01187,5812.375784,4116.302922,2940.814612,5644.318913,556.1877675,12567.30148,6454.698518,4372.887965,3221.401606,1470.338749,175.236475,2971.027202,6771.874468,10418.58762,4114.532266,5027.799096,3812.699589,46.75045872,19178,9106.907844,7414.572662,11331.8156,1196.449426,9782.808913,7666.741662,5234.716277,11287.31233,1118.115075,2479.971393
193,Yorkville,11395.89543,15933.28313,5180.821446,12045.29855,6200.536762,3676.021873,9783.773108,804.3697072,19345.28359,13133.71641,6415.898868,6426.638081,3175.537987,467.696422,5897.189958,9207.840333,19913.90789,6981.80326,6991.092022,6857.946663,96.55353323,32568,16765.1362,13193.52157,24348.56899,2277.423627,14619.87624,14558.70013,9597.30486,17141.11956,2607.003806,5718.575581
