,Unnamed: 0,Neighborhood,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,cars per capita,transportation car_n,transportation public_n,tranportation motorcycle_n,total workers,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value for 20 to 100_n,house value for 100 to 500_n,house value 500 or more_n,rent bewteen 300 and 1000_n,rent bewteen 1000 and 2000_n,Transportation Other means_n
0,0,Airport,19991.440653,31714.063576,10062.495766,19164.553571,18241.256287,7310.887696,14563.742792,2487.5596577,42660.127506,19055.872494,15242.597989,9815.234043,4580.9032981,512.7101071,8421.950124,26600.684659,29270.807384,12381.765386,20299.841249,12075.15044,123.87871559,61869,26972.2145175,23043.5118412,36524.8279645,3734.9468999,36353.8704586,20827.1826408,16895.0628182,36981.703385,3132.2536192
1,1,Allerton-Pelham Gardens,2391.49250821,3691.07791196,1215.42958016,1630.9321962,2407.25957683,507.416192491,2584.03853991,168.353493977,4949.9253829,2342.07461725,1756.48107289,984.534358518,453.289715437,55.239159036,1311.30502972,2391.94883858,4240.1662507,1483.56225337,1975.95341437,1309.35452033,7.805774529,7310,3669.49870019,2696.85759727,3480.36907927,751.561035918,4489.44878028,1871.9901841,2415.39548279,4250.84851529,360.044750232
2,2,Annadale-Huguenot-Prince's Bay-Eltingville,1667.12594082,3118.0387294,1031.83532948,3781.8175008,534.720532252,492.80485842,917.28575554,90.371353377,4318.4773089,1496.52269088,1577.31231995,1002.2136694,479.17744524,47.938400525,558.03159907,3618.0251544,1707.62152081,1293.20992274,2573.24018869,980.97314633,5.222601743,5821,1869.58249281,1756.87815343,3909.3521571,200.652870549,3292.68913808,2298.65799131,1659.15336329,3412.81972245,192.702505022
3,3,Arden Heights,498.5165606,914.3085064,296.17493296,1112.3715682,131.91608723,149.50253754,289.03774485,26.172062215,1253.191326,453.80867394,453.85344487,295.06186817,146.61662446,14.785173888,144.31818465,1079.9426143,499.29616648,366.88546372,770.86217221,291.95544871,1.900932232,1710,553.982801828,539.223556623,1181.27718947,63.461730575,1001.3990687,630.139200788,428.688701878,1043.29412263,64.834769903
4,4,Astoria,8396.69622461,12099.7045888,3920.59918613,8998.01578508,3917.56110869,3752.24328126,7073.54095667,675.638868871,15529.1169533,8846.88304704,5376.91701527,4523.52984664,2078.702145,256.577210122,3676.28131024,8444.23793972,13549.1162755,5375.65267981,6320.84265268,5034.46147946,68.554055309,24530,11783.0050259,10059.6677043,15879.0018214,1335.54924865,11639.6870628,11018.7636888,6209.90927188,14604.4929615,1523.84023462
5,5,Auburndale,1330.14186942,2331.4753544,820.3827765,1718.4985118,562.58526211,1075.4335285,996.46205768,129.020639732,3174.3718877,1302.62811233,1036.04740456,816.32586599,402.86972499,46.783381085,465.70696944,2286.295548,1816.138776,909.18688853,1671.1607569,830.40940116,7.387851749,4496,1723.14728738,1612.78179751,2791.29520466,208.37377301,2218.07886356,2036.54736348,906.162342944,2771.97295262,215.616627644
6,6,Baisley Park,1379.81156473,2174.38067097,679.807764308,896.591038016,1592.25153108,557.490092844,1005.02655535,182.640782426,3037.83833339,1178.16166662,1071.33309579,614.0939924,276.51347265,26.326047548,526.112985495,1872.58185424,1961.08789982,939.270445182,1302.78233434,810.287684159,6.888312876,4250,1737.11186196,1550.9666961,2253.84056766,239.321819705,2557.31267558,1365.36550472,1107.47156779,2621.99268514,185.180934927
7,7,Bath Beach,1626.00343306,2655.25701387,936.739553415,2539.46873491,728.252996094,951.084825822,898.116297079,101.07714634,3622.31397257,1594.68602743,1294.44882816,901.519243295,407.814351845,45.176725593,690.31292844,2171.10994535,2568.48511545,1112.79580371,1459.22886371,1024.78331994,11.1901412,5228,2337.06207136,1885.93945669,2921.58614769,253.088457239,2094.26850208,2823.6430409,1413.00696213,3284.87231105,291.585704999
8,8,Battery Park City-Lower Manhattan,109214.049894,160503.453801,52161.4963294,146195.929806,58042.3656591,38215.3079102,71149.125142,8276.27150079,195635.189226,126059.810777,63334.5769975,68582.4061717,35496.9743434,5050.34135335,50438.0206274,119209.729285,168970.97848,65750.5361015,90627.72579,66141.1059798,1043.49420501,322171,148555.725482,126073.883139,272381.8712,18975.8417606,147090.745738,149423.412501,86792.8853839,166283.899594,26466.1174534
9,9,Bay Ridge,8357.66354899,13364.4553098,4517.8811418,12505.5689186,3974.36505844,3987.61986485,5200.46121091,571.984947456,17411.8077509,8814.19224969,6132.43129933,4708.86522052,2223.65625105,272.985490053,3749.60228207,10170.088015,13597.8524062,5700.81217546,6998.18461014,5214.05604751,63.189096265,26298,12169.6685735,9885.6401146,15907.6925001,1447.41521476,10671.7596798,13809.8251059,7177.36010097,16245.8953043,1583.93364638
10,10,Bayside-Bayside Hills,4279.35161809,7536.5171795,2669.13120244,5459.77511909,2061.19307576,3284.74068352,3225.40787979,453.883241917,10211.6306054,4249.36939394,3323.69170922,2727.01789052,1270.73791785,156.301245226,1473.36235725,7321.35278811,5899.22773602,3030.18150263,5295.194552,2692.26107843,21.530088984,14535,5628.08607685,5117.71487779,9205.4020986,725.452187485,6986.40295678,6643.14485486,3073.33499299,8838.34744569,684.322275245
11,11,Bedford,7653.74262954,9555.62501513,2799.63235565,7435.36892569,5930.77866905,1478.21477455,4750.92747227,413.710159396,13391.8346081,6571.16539229,4940.09973967,2808.88528065,1289.29792004,147.056786244,3678.27089457,5274.71219966,12589.6889499,4018.82424097,3979.19118065,3768.97698883,97.926634777,20088,10805.6533108,7343.9792785,9843.95961918,1268.26088549,8800.25752967,9533.48158555,6695.75640709,10887.6259246,1890.89103834
12,12,Bedford Park-Fordham North,4764.96827521,6942.02912195,2115.00260376,3434.09471941,3343.14800497,969.959764268,5782.42210284,292.375407908,9130.54514886,4671.45485146,3140.17407423,1895.10716446,888.405031706,114.132288661,2725.72216542,3815.04179798,8722.65325584,2690.2889781,3440.342726,2554.12176433,21.653928097,13827,7455.62166408,5067.67125485,6553.11561083,1287.10507385,8075.92118848,3870.9737372,4665.84726109,7862.98755656,815.792990578
13,13,Bellerose,3007.35248204,5053.8398612,1691.80765667,3758.8596623,2057.52823721,1451.15917269,2170.23446539,315.21846259,6848.96980946,2890.03019054,2314.78298179,1680.77326372,844.030897357,94.394348116,1144.59739267,4891.34760882,3976.78552748,1873.98139675,3741.53885692,1829.11429583,16.228462302,9772,3864.30379133,3437.28485893,6199.00328276,587.709300761,5620.04157222,3455.24912785,2453.79444575,5778.30689863,467.154603907
14,14,Belmont,3472.4326389,4978.3632923,1626.20406858,3552.53792992,1865.4640716,707.59393156,3732.3861069,219.017960082,6372.9222374,3692.0777626,2097.2174906,1609.60926776,846.40273357,137.093589423,1934.5657033,3104.18827982,5971.3273555,1866.73226482,2746.13310919,1863.14392411,21.722049294,10085,5296.51963829,3720.4862753,6067.77279673,922.82839399,5614.4462377,3250.72536924,3287.88983535,5449.27391168,727.210966909
15,15,Bensonhurst East,4907.26972827,7946.33399923,2929.3962739,7969.64330907,1950.48913464,3001.22617272,2572.4266031,289.214779567,10869.0586551,4907.94134573,3882.85284347,2721.67520651,1223.21650059,140.230406832,2349.9986953,5918.20697845,8360.37081296,3351.48887268,3938.08473845,3083.84947555,38.509601495,15817,7588.55450732,5709.5863347,8199.26341769,885.156554814,5976.33469505,8766.50874968,4602.44778814,9789.15836425,955.611855029
16,16,Bensonhurst West,7679.56845218,12204.3737636,4405.05778603,11501.8182982,3780.36869685,4405.22741761,4160.15383244,441.431753569,16730.2412277,7543.75877158,6083.28474496,4020.58677316,1784.32841775,200.825789905,3644.21843906,9026.59100419,12975.8196068,5119.85356186,6116.09353167,4711.71075306,56.680211006,24334,11765.8081394,8835.56584522,12483.0889287,1339.67821892,9555.46354913,13168.8582316,7190.0139532,15014.7155124,1471.70606329
17,17,Borough Park,27669.4120981,38782.8852065,13341.7026977,40305.6163993,14972.1159779,9760.12630864,13381.1164583,1375.02485153,55574.0242356,24147.9757665,20453.8792907,12149.8371717,5704.19849798,657.191075931,11775.3613682,26453.4222581,45437.644048,15907.5501039,18294.1453141,14648.7665141,234.458644335,79915,40841.7867112,28361.422189,38688.2036699,3866.52954022,29501.3910058,45462.0794563,23019.8580795,48468.2948755,7139.64316761
18,18,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1820.33241919,3207.8776041,1118.78997679,2588.23077371,1688.31746539,531.240460295,1184.68568655,154.5256139,4215.51162404,1930.48837641,1471.52173986,997.23054559,486.33541118,48.29016223,859.81285748,2668.87679367,2767.38951634,1294.43581743,2037.94833135,1108.03806839,15.635058573,6163,2632.6163463,2209.2468648,3662.31456254,386.012604884,3295.42389894,2413.56349658,1857.91600294,3596.39456813,282.680837571
19,19,Briarwood-Jamaica Hills,2616.25180929,4233.54348691,1349.20470358,2109.5733961,2304.51471329,1480.07658127,1927.08487143,377.75043789,5805.49226575,2382.50773508,1958.62891705,1366.95189689,624.348613523,64.671993599,959.028042195,3679.84863317,3815.03541101,1819.50422609,2567.11818393,1616.33772049,11.099120846,8234,3376.71495978,3048.57725787,4671.66621681,410.166389601,4907.21801104,2824.61559945,1929.18121386,5242.13334137,377.001428484
20,20,Brighton Beach,6866.73238324,10815.5530662,4010.71455117,9239.5706278,4587.79857787,2988.06958615,4426.97165262,450.589554739,14207.2971322,7451.70286785,5161.35310392,3815.47102153,1656.33922141,200.082410302,4165.30119149,7119.54350638,12445.9734741,4587.64825831,4969.16898728,4202.5088254,48.766119367,21717,11331.9027486,8082.8079711,11208.8549527,1510.44811309,9761.75613447,9962.79575194,7016.08506902,12738.2777325,1349.46410957
21,21,Bronxdale,3068.7732778,4460.5005975,1391.72612539,1679.48479836,2951.90626125,517.39679561,3586.864042,185.348102634,5910.4855969,3001.5144027,2092.41311682,1141.1214443,513.7768242,62.409859771,1891.08609556,2248.96553366,5834.747124,1845.42983064,1958.2985503,1649.61196111,12.977261691,8926,4942.96315502,3282.70443154,3865.00337664,952.208413975,5290.7631414,2353.02844509,3331.9515016,4932.00758446,485.959590489
22,22,Brooklyn Heights-Cobble Hill,105324.814615,163740.485316,54133.7000584,124276.120301,78418.2420954,34665.6694073,77848.9597756,7990.00837946,211789.908044,111001.091956,74287.337332,56187.6056225,27858.3821897,3341.90930859,49616.7935864,126639.227293,165440.483672,68391.6325703,92729.1880003,63792.1023804,820.76692205,323281,148521.263531,121399.697313,207243.423073,20478.1574995,163471.177353,132810.665144,94480.9853634,183846.425801,18724.5311956
23,23,Brownsville,2644.54133532,3766.41734523,1136.04131987,1774.19866255,3058.83342775,694.48659993,1827.53225416,191.949055085,5027.78423737,2502.21576263,1873.53407654,1082.53717728,495.382892214,56.485229725,1425.82869214,2329.92665333,4426.44974454,1644.97361416,1693.74531633,1524.3554978,20.20210522,7571,3786.75938127,2830.73796478,3901.03976553,441.383005737,3822.36143609,3032.25555818,2496.56807448,4270.32986602,418.027198134
24,24,Bushwick North,7223.86154096,9470.38569677,2713.75276188,5236.04527994,4668.43010848,2095.57949585,6937.13921465,470.805901988,12785.5393497,6604.46065027,4443.47799283,2906.61404374,1255.61880006,135.775556043,3510.62572916,5467.55352921,11976.7255947,4354.2969792,3985.65813996,4052.71646137,80.092474319,19491,9707.54368557,7527.63293519,10482.1768448,1145.72045503,9301.29950021,8588.98004536,5735.86477614,11449.3281544,1273.14703765
25,25,Bushwick South,7494.21552065,10292.7006266,3187.08385213,6142.17426397,5773.69266685,2564.16518047,5982.44868355,511.519204751,13484.0841386,7460.91586128,4794.28412732,3419.49145968,1523.14725486,176.635175009,3779.89433504,6293.65531137,12533.679035,4590.7505087,4521.4412977,4316.29605967,76.827596126,21050,10685.3179445,8285.50888117,12182.6627035,1272.73975567,9874.92323289,9421.33701203,6478.43481668,11890.2115002,1391.83599077
26,26,Cambria Heights,438.263815198,726.820602436,244.915582388,355.861888644,529.603509576,186.129548623,287.404815865,51.000237334,1021.59423456,388.405765558,345.463758246,227.489969224,106.33839503,11.814893645,148.982189761,726.858494079,565.747680321,300.098280356,506.944193664,268.114460212,2.373443809,1419,527.569776019,501.342346766,850.204766376,76.119916846,884.591252826,441.288830422,347.187050526,850.951221274,62.107334334
27,27,Canarsie,4348.07234418,6678.45626101,2130.47139487,3882.45925906,5268.6340784,1162.22564479,2528.824162,314.856855143,9095.19999263,4043.80000757,3338.58123781,1971.23574825,907.104881363,88.529548431,2079.10477755,4939.68818453,6960.54522282,2892.81883114,3502.05082196,2613.4798783,26.541529122,13192,6056.85404216,4843.79734825,6767.42054966,682.758719441,6576.52957231,5495.71170833,3891.87989467,8042.05018435,651.36141265
28,28,Carroll Gardens-Columbia Street-Red Hook,10027.1059813,14158.4378237,4344.45619426,10461.8982947,7556.50802508,2889.24648842,6944.92661616,677.420573397,18031.8341195,10463.1658801,6374.35559997,5100.71009857,2494.91306128,285.683740405,5087.95323551,9094.5557863,16576.7435745,6266.48319854,6470.15137681,5946.73421341,123.519588069,28597,13996.2492737,11107.7330084,18297.046264,1569.17787188,12309.4675764,14089.3545518,8751.08157754,15636.145343,1974.97905727
29,29,Central Harlem North-Polo Grounds,6932.44369799,9721.38719288,3001.16910934,4948.51076535,5953.32132654,1706.31206073,6558.27061891,488.58522811,11975.6294398,7651.3705608,4224.22488737,3192.77725392,1556.45983368,215.892381575,4262.63002881,5018.93355033,12626.69169,4104.83383699,4005.6541812,3905.73729772,48.439941767,19715,11131.4666944,7977.91273714,11547.0904167,1889.77346563,9703.49494805,7311.73158582,7164.21977779,10135.1719321,1352.03775315
30,30,Central Harlem South,5756.6723627,7963.4880304,2435.83960637,4780.1058687,4280.24740805,1384.34841233,5315.7063109,395.591998509,9727.4390037,6410.5609963,3362.85268117,2793.5698092,1403.46728423,201.112528044,3431.89865343,4168.43988192,10295.6028077,3359.30278811,3367.77574431,3266.74473077,46.14295676,16203,9009.16321056,6566.08436858,10320.1284294,1464.7973611,7657.93133551,6488.27130348,5653.92499868,8221.09020792,1190.41704001
31,31,Charleston-Richmond Valley-Tottenville,3170.98179511,5833.7115659,1874.30663779,6782.6546337,1176.17157785,863.24339939,1874.81615326,182.114236457,7969.2081351,2906.79186534,2859.50937584,1855.23192511,924.44416285,86.985882468,1052.76500261,6568.2297173,3421.43045812,2311.31504375,4805.8067554,1864.81300073,11.706677604,10886,3695.26787804,3401.96375438,7272.41464535,497.741283883,6083.74651559,4246.51220133,2963.29627695,6514.45435093,394.70498663
32,32,Chinatown,45253.3625913,68529.1758451,22719.461565,51686.1812564,28419.6853322,19905.5610928,33107.7825906,3382.7897273,87615.7971917,48814.2028083,30252.6772399,24432.1200807,11782.894529,1459.65594882,22540.6121126,48877.688157,74303.0619251,28567.6854827,35584.2090332,27055.5684861,425.157410494,136643,66282.6727091,52352.0362367,89530.5153225,8757.65735657,64317.5773379,60619.7653082,41714.8853277,75310.4384689,9371.97114528
33,33,Claremont-Bathgate,4171.88228814,6010.5408828,1821.57682914,2576.29011396,3259.06930037,768.87811941,5141.59610297,258.166362137,7883.0616779,4097.93832236,2719.53695226,1582.50236498,740.13721081,97.524301131,2596.74262357,3034.2408345,7844.8046119,2366.49340602,2741.23170469,2179.44951498,19.412094175,12020,6724.81952638,4373.69175699,5367.88831529,1240.70594486,6992.51360507,3181.78045029,4456.48846991,6508.81883839,726.844410192
34,34,Clinton,38692.156621,55213.172714,17509.6706584,44802.619624,21085.7117675,12352.5111214,30337.852397,2836.305088,66083.653492,45257.3465,22037.293136,22588.892315,11512.9939515,1622.04724684,19698.635948,35628.595252,63770.773763,22805.735592,27938.632738,22963.050737,377.03546998,111550,57828.9798638,46548.0591443,91449.1118571,7494.6669329,51680.2299949,49549.1030719,31911.136345,58236.5207108,9543.69661688
35,35,Clinton Hill,5045.57213133,6540.6675014,1942.76036737,5378.42164853,3444.6225369,1387.68525105,2944.26867977,374.001883093,8084.3401161,5427.65988302,2771.32998785,2646.13640166,1362.0800992,164.555848082,2397.46641551,4194.84390658,7829.1920402,2958.26467003,2916.9120498,2939.4962677,77.508927369,13580,6853.76943781,5515.9405349,10196.0796381,761.067488015,5500.70689932,7060.2256127,3871.71787443,7160.13647877,1110.86268827
36,36,Co-op City,6103.129662,9275.0741983,2935.79614151,3770.5275295,5868.4729739,1052.70031072,7233.2915047,389.00767985,12295.9114882,5995.0885118,4335.2828497,2359.80898967,1090.24953564,116.308420255,3488.50991174,5393.7292875,11269.5560257,3605.46548421,4730.4200087,3293.03163306,22.178740117,18326,9857.21878156,6667.72208627,8168.68201043,2396.84784946,10908.2872634,4303.86488745,6854.09084388,9998.13517686,964.193816647
37,37,College Point,6902.38480009,11248.1995806,3755.41561977,7400.63259106,4852.64168814,3374.00811607,5650.08770943,628.629895627,15102.7678752,6766.23212431,5301.07191218,3561.22002529,1666.07719822,188.469971587,2892.06792525,9454.22709748,10432.1316831,4414.69736152,7227.02327756,4118.69577092,39.121610246,21966,9465.2938156,8080.85726027,12795.6478258,1323.13215536,12016.7211397,8225.14670504,5760.27563717,13186.4304639,1144.78200124
38,38,Corona,2139.92622925,3230.65315715,1020.42061399,1711.4110861,1203.9756607,1155.15276894,2123.20223533,197.258248913,4436.05397305,1941.94602696,1536.54734779,974.98155048,426.434098289,47.028698243,830.907596715,2359.48222376,3440.71030933,1419.44273306,1689.35289028,1282.86378684,15.240213206,6433,2911.46715692,2441.79567167,3473.78063174,329.982298483,3386.9424563,2593.07524549,1495.46255603,4069.91375226,360.349951998
39,39,Crotona Park East,1663.24825333,2380.4366642,743.31508268,1170.40677035,1206.20638409,347.42355129,1963.83109771,99.132196331,3143.8052645,1626.19473544,1104.31017229,650.20320358,288.9679892,36.592739322,1004.78820276,1284.79094567,3035.8792536,943.52883028,1117.28745495,890.51937169,9.222784852,4797,2649.80921571,1744.59528997,2207.98029038,470.037709626,2723.69090209,1434.27138844,1790.02152581,2553.28278994,274.382068705
40,40,Crown Heights North,7119.97695627,9945.16241162,3064.86063209,5103.15081227,8889.56540408,1663.01284072,3977.01156002,497.259382421,12967.7611045,7153.23889472,4892.41731203,3114.23016905,1437.50767636,156.248209301,3735.07150346,5908.38954003,12095.6469771,4500.01272969,4228.44288529,4182.15404092,66.768111031,20185,10615.5934711,8157.40610359,10642.075095,1167.59456395,9247.412244,9386.9931928,6410.06086626,11768.4021628,1203.99409756
41,41,Crown Heights South,2669.526027,3626.6677307,1173.80624174,2715.69165618,2586.6237362,633.0007364,1360.15198013,174.53189126,4789.6943179,2680.30568173,1732.35871189,1242.02103126,613.95348664,71.660278049,1263.25888424,2214.70391136,4500.8428673,1638.08419116,1504.38950703,1542.55296649,26.091529015,7496,3799.23759659,3021.20898462,4203.89428766,468.331960763,3010.68476184,3902.98327804,2184.87061933,4458.59172549,559.596008417
42,42,Cypress Hills-City Line,2622.58732574,3835.97615363,1100.43652092,1562.70225385,2834.3833109,735.20956058,2211.04400698,215.660867336,5277.16952426,2272.83047577,2028.71895181,1015.60723469,437.804979615,43.308901215,1331.3866967,2465.48897815,4285.91745614,1714.05627085,1714.04997954,1547.96958232,15.403142064,7593,3532.64028975,2801.89005186,3607.36002314,377.133924868,4108.90380867,2843.96226634,2267.36808065,4640.17024608,366.825641513
43,43,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,65513.9453174,98847.1699881,31751.8846964,68039.8687113,55686.3636182,20628.9596113,46587.6343635,5170.17369101,128083.708315,67743.2916855,45630.2136045,33368.2174706,16107.6077468,1876.23432434,31727.8673351,72389.3603766,104153.243792,41456.1948663,53633.5898633,39088.43202,539.113328402,196274,93019.6763553,74746.2052397,122114.601663,12769.7677594,100065.14445,79298.0877967,59261.3737591,110948.212406,11568.2567817
44,44,Douglas Manor-Douglaston-Little Neck,2242.9036871,3904.2411396,1392.8551733,2783.7490349,1241.97825423,1620.6801731,1672.1238372,221.46870053,5258.6496737,2258.3503263,1712.3004815,1390.89425669,670.30767497,83.25785174,840.83064711,3749.2890135,3128.1733839,1541.92932036,2766.6568514,1384.21904982,11.212504439,7546,2988.92086088,2673.05225254,4767.52972132,373.116322701,3893.25201423,3178.63166334,1695.40364234,4517.56195224,367.974266289
45,45,Dyker Heights,6234.56600778,9692.41868226,3240.0153111,7780.6479202,3388.0095805,3577.01345956,4021.99816264,399.330875541,13021.3881328,6115.61186687,4570.08848178,3118.26362174,1436.45065548,167.083639815,2825.14137881,7191.20251968,10123.6088336,4111.42668753,4945.83900465,3724.97984055,49.57816328,19211,9118.32366391,7031.30803734,10687.204941,1124.98956471,7926.40584447,9779.60459096,5544.32423903,11638.2841401,1174.77074215
46,46,East Concourse-Concourse Village,4405.67686019,6194.39226678,1871.93087341,2622.47230076,3286.32398045,863.429643142,5433.30939904,266.464677263,8013.4211949,4442.57880508,2758.70417093,1679.27332221,777.839616982,104.287928617,2823.58524229,2812.0156209,8487.8762572,2523.04761835,2480.15216707,2349.50075563,24.56397066,12491,7195.06562315,4658.48617596,5746.55288329,1215.89164288,6836.09540134,3631.01295639,4746.00164224,6580.29235315,787.878070388
